List,Field,DisplayName,Type,Required,Indexed,Unique,LookupList,LookupField,Choices,Canvas,Flow,Provisioning,Action,Target,Reason
BLC_EmployeeIdentityChanges,AppliedByFlow,Applied By Flow,Boolean,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,AppliedDate,Applied Date,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,ChangeReason,Change Reason,Choice,False,False,False,,,Marriage | Divorce | Correction | RoleChange | DepartmentChange | Other,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,Comment,Comment,Note,False,False,False,,,None,True,False,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,EffectiveDate,Effective Date,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,Employee,Employee,Lookup,True,False,False,BLC_Employees,Title,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,LifecycleID,Lifecycle ID,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,LifecycleRequest,Lifecycle Request,Lookup,False,False,False,BLC_LifecycleRequests,Title,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,NewDisplayName,New Display Name,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,NewEmail,New Email,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,NewFirstName,New First Name,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,NewLastName,New Last Name,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,NewPhoneNumber,New Phone Number,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,NewUPN,New UPN,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,OldDisplayName,Old Display Name,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,OldEmail,Old Email,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,OldFirstName,Old First Name,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,OldLastName,Old Last Name,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,OldPhoneNumber,Old Phone Number,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_EmployeeIdentityChanges,OldUPN,Old UPN,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeIdentityChanges,Title,Titel,Text,True,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,Active,Active,Boolean,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,AssignmentReason,Assignment Reason,Choice,False,False,False,,,Onboarding | Mover | Correction | Temporary | Manual | Offboarding | Other,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,Comment,Comment,Note,False,False,False,,,None,True,False,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,CreatedByFlow,Created By Flow,Boolean,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,Employee,Employee,Lookup,True,False,False,BLC_Employees,Title,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,EmployeeRoleID,Employee Role ID,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,IsPrimaryRole,Is Primary Role,Boolean,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,LifecycleID,Lifecycle ID,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,LifecycleRequest,Lifecycle Request,Lookup,False,False,False,BLC_LifecycleRequests,Title,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,PreviousEmployeeRole,Previous Employee Role,Lookup,False,False,False,BLC_EmployeeRoles,Title,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,RoleProfile,Role Profile,Lookup,True,False,False,BLC_RoleProfiles,Title,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,Title,Titel,Text,True,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,ValidFrom,Valid From,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_EmployeeRoles,ValidTo,Valid To,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_Employees,AccountStatus,Account Status,Choice,False,False,False,,,Planned | Active | Disabled | Blocked | Leaving | Left | Archived,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_Employees,Active,Active,Boolean,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_Employees,Department,Department,Text,False,False,False,,,None,True,True,True,MOVE,BLC_Employments.DepartmentLookup,Explizite Zielmodellregel
