"ListTitle","ViewTitle","DefaultView","RowLimit","Paged","Fields","Query"
"BL_Assets","Alle Elemente","True","30","True","LinkTitle",""
"BL_Aufgaben","Admin","False","30","True","Title | BL_TaskDescription | BL_TaskStatus | BL_DueDate | BL_Comment | BL_TaskCatalogLookup | BL_TaskArea | BL_IsCritical | BL_CaseLookup | BL_AssignedTo | BL_DoneAt | BL_SortOrder | BL_AssignedGroup | BL_TaskAreaText",""
"BL_Aufgaben","Aufgaben Fachbereich","True","30","True","Title | BL_TaskDescription | BL_TaskStatus | BL_DueDate | BL_CaseLookup | BL_Comment | BL_TaskCatalogLookup | BL_IsCritical | BL_AssignedTo","<GroupBy Collapse=""FALSE"" GroupLimit=""30""><FieldRef Name=""BL_TaskStatus"" /></GroupBy><OrderBy><FieldRef Name=""BL_DueDate"" /></OrderBy><Where><Eq><FieldRef Name=""BL_TaskAreaText"" /><Value Type=""Text"">Fachbereich</Value></Eq></Where>"
"BL_Aufgaben","Aufgaben IT","False","30","True","Title | BL_TaskDescription | BL_TaskStatus | BL_DueDate | BL_CaseLookup | BL_Comment | BL_TaskCatalogLookup | BL_IsCritical | BL_AssignedTo","<GroupBy Collapse=""FALSE"" GroupLimit=""30""><FieldRef Name=""BL_TaskStatus"" /></GroupBy><OrderBy><FieldRef Name=""BL_TaskStatus"" Ascending=""FALSE"" /></OrderBy><Where><Eq><FieldRef Name=""BL_TaskAreaText"" /><Value Type=""Text"">IT</Value></Eq></Where>"
"BL_Aufgaben","Aufgaben Personal","False","30","True","Title | BL_TaskDescription | BL_TaskStatus | BL_DueDate | BL_CaseLookup | BL_Comment | BL_TaskCatalogLookup | BL_IsCritical | BL_AssignedTo","<GroupBy Collapse=""FALSE"" GroupLimit=""30""><FieldRef Name=""BL_TaskStatus"" /></GroupBy><OrderBy><FieldRef Name=""BL_DueDate"" /></OrderBy><Where><Eq><FieldRef Name=""BL_TaskAreaText"" /><Value Type=""Text"">HR</Value></Eq></Where>"
"BL_Aufgabenkatalog","","False","0","False","",""
"BL_Aufgabenkatalog","Alle Elemente","True","30","True","LinkTitle | BL_TaskArea | BL_TaskName | BL_TaskDescription | BL_TaskAreaLookup | Wunschtermin",""
"BL_Rollenprofil_Aufgaben","Alle Elemente","True","30","True","BL_RoleProfile | BL_TaskTemplate | BL_ProcessType | BL_DueOffsetDays | BL_AssignedTo | BL_IsCritical | BL_IsActive","<GroupBy Collapse=""FALSE"" GroupLimit=""30""><FieldRef Name=""BL_RoleProfile"" /></GroupBy>"
"BL_Rollenprofile","Alle Elemente","True","30","True","LinkTitle | BL_Rollenprofile",""
"BL_TaskAreaOwners","Alle Elemente","True","30","True","LinkTitle | BL_AreaGroup | BL_IsActive | BL_Description",""
"BL_Vorgaenge","","False","0","False","",""
"BL_Vorgaenge","Admin","False","30","True","BL_ProcessType | BL_FirstName | BL_LastName | BL_PersonNumber | BL_Department | BL_Manager | BL_Notes | BL_RoleProfile | BL_Case | BL_CompletedAt | BL_Status | BL_TaskGenerationError | BL_TasksGenerated | BL_TaskSource | ID",""
"BL_Vorgaenge","Alle Elemente","False","30","True","LinkTitle | Vorgang | BL_ProcessType | BL_Status | BL_FirstName | BL_LastName | BL_Department | BL_Manager | BL_Notes | BL_CompletedAt",""
"BL_Vorgaenge","BL_Formularansicht","True","30","True","Title | BL_ProcessType | BL_DueBase | BL_FirstName | BL_LastName | BL_PersonNumber | BL_Department | BL_Manager | BL_Status | BL_Notes | BL_RoleProfile","<GroupBy><FieldRef Name=""BL_Status"" Ascending=""TRUE"" /></GroupBy>"
"BLC_EmployeeIdentityChanges","Alle Elemente","True","30","True","LinkTitle | LifecycleID | OldDisplayName | NewDisplayName | EffectiveDate | AppliedDate | ChangeReason","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_EmployeeRoles","Alle Elemente","True","30","True","LinkTitle | EmployeeRoleID | LifecycleID | ValidFrom | ValidTo | Active | IsPrimaryRole | AssignmentReason","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_Employees","","False","0","False","",""
"BLC_Employees","Alle Elemente","True","30","True","LinkTitle | EmployeeLifecycleID | EmployeeID | DisplayName | UPN | Department | Manager | StartDate | AccountStatus | Active | Email","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_Entitlements","Alle Elemente","True","30","True","LinkTitle","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_LifecycleRequests","","False","0","False","",""
"BLC_LifecycleRequests","Alle Elemente","True","30","True","LinkTitle | LifecycleID | RequestType | TargetDisplayName | TargetUPN | Department | Manager | StartDate | LifecycleStatus | ApprovalStatus | Priority | RequestedDisplayName | IdentityChangeRequired | RoleChangeRequired | Comments | FirstName | LastName","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_LifecycleTasks","Alle Elemente","True","30","True","LinkTitle | TaskID | TaskTitle | TaskCategory | TaskOwnerGroup | AssignedTo | DueDate | TaskStatus","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_RoleEntitlements","Alle Elemente","True","30","True","LinkTitle | RequiredForJoiner | Active | RequiredForMover | RequiredForLeaver","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"BLC_RoleProfiles","Alle Elemente","True","30","True","LinkTitle | RoleProfileID | RoleName | Department | EmploymentType | RiskLevel | Active | ID","<OrderBy><FieldRef Name=""ID"" /></OrderBy>"
"Dokumente","Alle Dokumente","True","30","True","DocIcon | LinkFilename | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Dokumente","assetLibTemp","False","20","False","LinkFilename","<OrderBy><FieldRef Name=""LinkFilename"" /></OrderBy>"
"Dokumente","Dokumente erneut verknüpfen","False","30","True","DocIcon | LinkFilenameNoMenu | RepairDocument | Modified | Editor | ContentType | TemplateUrl","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy><Where><Neq><FieldRef Name=""xd_Signature"" /><Value Type=""Boolean"">1</Value></Neq></Where>"
"Dokumente","Dokumente zusammenführen","False","30","True","DocIcon | LinkFilename | Combine | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Formatbibliothek","Alle Dokumente","True","30","True","DocIcon | LinkFilename | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Formatbibliothek","assetLibTemp","False","20","False","LinkFilename","<OrderBy><FieldRef Name=""LinkFilename"" /></OrderBy>"
"Formatbibliothek","Dokumente erneut verknüpfen","False","30","True","DocIcon | LinkFilenameNoMenu | RepairDocument | Modified | Editor | ContentType | TemplateUrl","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy><Where><Neq><FieldRef Name=""xd_Signature"" /><Value Type=""Boolean"">1</Value></Neq></Where>"
"Formatbibliothek","Dokumente zusammenführen","False","30","True","DocIcon | LinkFilename | Combine | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Formularvorlagen","Alle Dokumente","False","30","True","DocIcon | LinkFilename | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Formularvorlagen","Alle Formulare","True","30","True","DocIcon | LinkFilename | FormName | FormDescription","<GroupBy Collapse=""FALSE""><FieldRef Name=""FormCategory"" /></GroupBy><OrderBy><FieldRef Name=""FormName"" /></OrderBy><Where><Neq><FieldRef Name=""ShowInCatalog"" /><Value Type=""Boolean"">0</Value></Neq></Where>"
"Formularvorlagen","assetLibTemp","False","20","False","LinkFilename","<OrderBy><FieldRef Name=""LinkFilename"" /></OrderBy>"
"Formularvorlagen","Dokumente erneut verknüpfen","False","30","True","DocIcon | LinkFilenameNoMenu | RepairDocument | Modified | Editor | ContentType | TemplateUrl","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy><Where><Neq><FieldRef Name=""xd_Signature"" /><Value Type=""Boolean"">1</Value></Neq></Where>"
"Formularvorlagen","Dokumente zusammenführen","False","30","True","DocIcon | LinkFilename | Combine | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Websiteobjekte","Alle Dokumente","True","30","True","DocIcon | LinkFilename | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Websiteobjekte","assetLibTemp","False","20","False","LinkFilename","<OrderBy><FieldRef Name=""LinkFilename"" /></OrderBy>"
"Websiteobjekte","Dokumente erneut verknüpfen","False","30","True","DocIcon | LinkFilenameNoMenu | RepairDocument | Modified | Editor | ContentType | TemplateUrl","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy><Where><Neq><FieldRef Name=""xd_Signature"" /><Value Type=""Boolean"">1</Value></Neq></Where>"
"Websiteobjekte","Dokumente zusammenführen","False","30","True","DocIcon | LinkFilename | Combine | Modified | Editor","<OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Websiteseiten","","False","30","False","DocIcon | LinkFilename | Editor | Modified | Created","<OrderBy><FieldRef Name=""_SPAssetFolderId"" /></OrderBy>"
"Websiteseiten","Alle Seiten","False","30","True","DocIcon | LinkFilename | Editor | Modified | Author | Created","<OrderBy><FieldRef Name=""Modified"" Ascending=""FALSE"" /></OrderBy>"
"Websiteseiten","Erstellt von mir","False","30","True","DocIcon | LinkFilename | Editor | Modified | Author | Created","<Where><Eq><FieldRef Name=""Author"" /><Value Type=""Integer""><UserID /></Value></Eq></Where><OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
"Websiteseiten","Letzte Änderungen","False","30","True","DocIcon | LinkFilename | Editor | Modified | Author | Created","<OrderBy><FieldRef Name=""Modified"" Ascending=""FALSE"" /></OrderBy>"
"Websiteseiten","Nach Autor","True","30","True","DocIcon | LinkFilename | Editor | Modified | Created","<GroupBy Collapse=""FALSE""><FieldRef Name=""Author"" /></GroupBy><OrderBy><FieldRef Name=""Modified"" /></OrderBy>"
"Websiteseiten","Von Editor","False","30","True","DocIcon | LinkFilename | Editor | Modified | Author | Created","<GroupBy Collapse=""FALSE""><FieldRef Name=""Editor"" /></GroupBy><OrderBy><FieldRef Name=""FileLeafRef"" /></OrderBy>"
